VerticeArr,EdgeArr,TimeAdjMatrix,TimeAdjList,
100,2123,11649,15764,
100,2125,11850,16141,
100,2128,11772,14969,
100,2133,11758,15762,
100,2139,11504,15609,
100,2140,11948,16565,
100,2142,11627,16211,
100,2142,11574,15772,
100,2147,11511,16526,
100,2153,11485,16335,
100,2154,11634,15615,
100,2154,11776,15873,
100,2156,11406,15127,
100,2159,12045,16608,
100,2159,11336,15790,
100,2162,11910,16335,
100,2166,11681,15998,
100,2167,12006,17365,
100,2168,11524,16270,
100,2182,11694,15995,
100,2183,11452,16099,
100,2189,11567,16299,
100,2197,11917,16743,
100,2204,11731,16837,
100,2205,11578,16346,
100,2206,11897,16920,
100,2209,11935,15945,
100,2226,11933,17058,
100,2227,11573,16525,
100,2235,11901,17308,
100,2236,11898,16473,
100,2237,11595,15719,
100,2246,11797,16962,
100,2247,11903,17096,
100,2250,11523,16679,
100,2251,11567,16751,
100,2253,11713,16753,
100,2254,11798,17198,
100,2263,11676,16808,
100,2271,11732,16054,
100,2272,11865,17480,
100,2280,11444,17432,
100,2282,11708,16932,
100,2284,12006,18129,
100,2290,11642,16695,
100,2292,11604,17661,
100,2296,11641,16734,
100,2304,11735,16242,
100,2312,12107,18333,
100,2312,11765,17241,
100,2313,11593,16401,
100,2317,11915,17254,
100,2319,11733,16725,
100,2325,11701,17018,
100,2327,11661,18030,
100,2332,11847,17139,
100,2342,11898,17564,
100,2347,11860,17038,
100,2352,11552,17199,
100,2358,11569,16699,
100,2359,11900,17465,
100,2363,11808,18004,
100,2364,11482,16708,
100,2367,11836,17300,
100,2377,11720,16763,
100,2380,11996,16890,
100,2380,11793,17439,
100,2382,12083,17671,
100,2382,11722,17533,
100,2385,11893,17644,
100,2386,11681,17247,
100,2389,11979,17493,
100,2391,11548,17183,
100,2393,11959,18329,
100,2393,11722,17394,
100,2400,11955,18299,
100,2402,12675,17901,
100,2403,11853,18405,
100,2406,11818,18591,
100,2410,11705,17497,
100,2410,12032,17748,
100,2414,12841,18391,
100,2419,11751,17277,
100,2421,11867,18043,
100,2435,11820,17939,
100,2445,11919,17847,
100,2449,11846,18649,
100,2462,11924,17968,
100,2462,11886,17384,
100,2465,11739,18495,
100,2473,11707,17712,
100,2477,11663,17027,
100,2489,12052,18106,
100,2490,11782,17547,
100,2495,12132,18757,
100,2496,12479,17859,
100,2509,11967,17750,
100,2511,11832,17373,
100,2522,12020,18492,
100,2523,11542,17246,
100,2535,11759,18450,
100,2541,11778,17751,
100,2543,11757,18916,
100,2555,12852,19859,
100,2555,12760,19940,
100,2562,11868,16574,
100,2565,11704,17796,
100,2567,12219,19311,
100,2569,12221,20798,
100,2570,11861,17671,
100,2571,11982,18637,
100,2571,12133,19480,
100,2574,11755,17702,
100,2586,11857,18574,
100,2588,12194,18815,
100,2588,11969,18541,
100,2591,11889,18105,
100,2592,11656,18330,
100,2596,11647,18343,
100,2599,12186,17214,
100,2606,11997,18640,
100,2607,12239,18850,
100,2610,11766,18782,
100,2633,12005,19351,
100,2650,12941,21546,
100,2652,11695,18249,
100,2654,12285,19282,
100,2656,12016,18702,
100,2658,11730,18564,
100,2659,12002,18646,
100,2668,11858,19477,
100,2672,11963,19682,
100,2674,12106,18982,
100,2675,11817,18531,
100,2677,12062,18845,
100,2681,12297,20272,
100,2684,12064,18948,
100,2688,12084,19457,
100,2692,11876,18771,
100,2693,11779,19639,
100,2696,12051,19547,
100,2699,12093,19354,
100,2699,12181,19184,
100,2706,12033,19741,
100,2713,12196,21051,
100,2716,11800,19065,
100,2717,12007,19043,
100,2720,12900,20392,
